Date,CustomerId,DeliveryDate,Address,ProductId,Quantity,UnitPrice,TaxAmount,TotalExcludingTax,TotalIncludingTax,GrossPrice,Discount,NetPrice,GrossRevenue,NetRevenue,COGS_PER,COGS,GrossProfit,OrderKey,SaleKey
06-06-2018,4766,06-06-2018,"619 Caleb Stream, Lake Dessie, Taiwan",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
04-09-2016,77039,04-09-2016,"978 Carroll Avenue, Ryleightown, Sudan",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-07-2019,47552,01-07-2019,"903 Imani Square, New Parkerfort, Puerto Rico",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
23-01-2018,87349,23-01-2018,"64886 Champlin Street, Mortonport, Guatemala",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-02-2017,9408,01-02-2017,"43221 Bernie Course, New Chaz, Brazil",1529,2,250,60,500,560,250,13,218,,436,40,174,262,,
25-09-2016,52492,25-09-2016,"83460 Milo Mall, Port Lonzo, Australia",1529,2,250,60,500,560,250,13,218,,436,40,174,262,,
11-01-2018,27906,11-01-2018,"0655 Hegmann Villages, Gulgowskiton, Slovenia",1529,2,250,60,500,560,250,13,218,,436,40,174,262,,
16-12-2016,92975,16-12-2016,"0509 Harmon Plain, New Marisol, Gambia",1529,2,250,60,500,560,250,13,218,,436,40,174,262,,
28-10-2018,13896,28-10-2018,"507 Monahan Orchard, Port Isabelchester, Lithuania",1529,2,250,60,500,560,250,13,218,,436,40,174,262,,
30-03-2018,14630,30-03-2018,"0297 Una Trafficway, Daisyside, Mexico",1529,2,250,60,500,560,250,13,218,,436,40,174,262,,
10-11-2017,61845,10-11-2017,"3401 Jermaine Street, Port Carolinafurt, French Guiana",1529,2,250,60,500,560,250,13,218,,,40,174,262,,
02-09-2018,76375,02-09-2018,"5808 Keyshawn Plain, Coleborough, Honduras",1529,2,250,60,500,560,250,13,218,,,40,174,262,,
21-12-2016,27110,21-12-2016,"4993 Zander Island, Lake Heath, French Polynesia",1529,2,250,60,500,560,250,13,218,,,40,174,262,,
21-06-2019,36972,21-06-2019,"0681 Davis Causeway, Smithammouth, Anguilla",1529,2,250,60,500,560,250,13,218,,,40,174,262,,
26-04-2019,42218,26-04-2019,"54000 Mckayla Plaza, Laneyton, Moldova",1529,2,250,60,500,560,250,13,218,,,40,174,262,,
17-11-2017,35973,17-11-2017,"246 Moen Stream, Hattietown, Bolivia",1529,2,250,60,500,560,250,13,218,500,,40,174,262,,
16-02-2019,63404,16-02-2019,"5337 Dejuan Land, East Daishamouth, Guernsey",1529,2,250,60,500,560,250,13,218,500,,40,174,262,,
10-08-2019,51271,10-08-2019,"07837 Klocko Run, Wilberhaven, Comoros",1529,2,250,60,500,560,250,13,218,500,,40,174,262,,
21-05-2017,53118,21-05-2017,"84346 Brandi Glen, New Darylland, Kenya",1529,2,250,60,500,560,250,13,218,500,,40,174,262,,
24-02-2017,21034,24-02-2017,"6009 Florida Trace, New Ezraberg, Andorra",1529,2,250,60,500,560,250,13,218,500,,40,174,262,,
08-11-2019,42257,08-11-2019,"936 Heather Pass, Gloverview, American Samoa",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
18-09-2017,83546,18-09-2017,"59249 Hills Parkway, Port Kurtside, Bermuda",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
01-09-2016,54433,01-09-2016,"0896 Dandre Extensions, Port Harmon, Ireland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
25-08-2019,24494,25-08-2019,"1640 Sauer Radial, Lake Jamal, Andorra",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
29-06-2016,67635,29-06-2016,"54327 Fermin Light, Justusland, Poland",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
04-11-2017,40371,04-11-2017,"88734 Katrine Forks, North Enrique, Mauritania",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
28-10-2017,77259,28-10-2017,"7185 Nina Neck, Lake Forrestmouth, Mali",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
18-04-2017,78210,18-04-2017,"891 Myra Courts, Virgilport, Djibouti",1529,2,250,60,500,560,250,13,218,500,436,40,174,262,,
